,1st_ace_percentage,1st_serve_percentage,1st_velocity,2nd_velocity,ad_percentage,deuce_percentage,double_fault_percentage,gender,opponent,player,points_won,serve_win_percentage,surface,tournament,handedness,Height
539,0.136363636,0.536585366,118,93.14893617,0.411764706,0.588235294,0.081300813,M,Andy Murray,Benoit Paire,100,0.552845528,grass,wimbledon,R,77.17
540,0.488372093,0.581081081,113.9069767,87.7037037,0.490196078,0.509803922,0.054054054,M,Tommy Haas,Benoit Paire,86,0.689189189,hard,aus,R,77.17
541,0.208333333,0.545454545,115.7916667,89.08571429,0.537735849,0.462264151,0.056818182,M,Fabio Fognini,Benoit Paire,169,0.602272727,hard,aus,R,77.17
542,0.192307692,0.472727273,115.5961538,89.46938776,0.483333333,0.516666667,0.081818182,M,Dominic Thiem,Benoit Paire,110,0.545454545,hard,aus,R,77.17
710,0.037037037,0.658536585,0,0,0.571428571,0.428571429,0.024390244,M,Mischa Zverev,Stefano Napolitano,33,0.512195122,clay,french,R,77.17
711,0.058823529,0.593023256,0,0,0.434782609,0.565217391,0.011627907,M,Diego Schwartzman,Stefano Napolitano,86,0.534883721,clay,french,R,77.17
1534,0.229508197,0.642105263,123.3934426,104.8636364,0.450980392,0.549019608,0.126315789,M,Andy Murray,Alexander Bublik,69,0.536842105,grass,wimbledon,R,77.17
1535,0.3,0.526315789,0,0,0.532258065,0.467741935,0.094736842,M,Lucas Pouille,Alexander Bublik,103,0.652631579,hard,aus,R,77.17
1536,0.3,0.543478261,0,0,0.431818182,0.568181818,0.043478261,M,Malek Jaziri,Alexander Bublik,72,0.47826087,hard,aus,R,77.17
1554,0.098039216,0.542553191,0,0,0.568627451,0.431372549,0.053191489,M,Andreas Seppi,Norbert Gombos,77,0.542553191,grass,wimbledon,R,77.17
1564,0.097222222,0.576,0,0,0.556818182,0.443181818,0.064,M,Henri Laaksonen,Lukas Rosol,130,0.704,grass,wimbledon,R,77.17
1565,0.210084034,0.650273224,120.2857143,101.0535714,0.5,0.5,0.043715847,M,Gilles Muller,Lukas Rosol,171,0.677595628,grass,wimbledon,R,77.17
1611,0.068493151,0.83908046,117.9315068,102.5833333,0.553571429,0.446428571,0.022988506,M,Gael Monfils,Daniel Brands,73,0.643678161,grass,wimbledon,R,77.17
461,0.103448276,0.563106796,96.22413793,83.58139535,0.470588235,0.529411765,0.019417476,M,Jack Sock,Jiri Vesely,120,0.660194175,clay,french,L,77.95
462,0.146666667,0.568181818,106.2933333,92.51020408,0.483146067,0.516853933,0.060606061,M,Aljaz Bedene,Jiri Vesely,129,0.674242424,clay,french,L,77.95
463,0.11627907,0.5375,109.7674419,83.16129032,0.604651163,0.395348837,0.075,M,Roberto Bautista Agut,Jiri Vesely,75,0.5375,clay,french,L,77.95
464,0.051546392,0.655405405,0,0,0.536842105,0.463157895,0.033783784,M,Illya Marchenko,Jiri Vesely,146,0.641891892,grass,wimbledon,L,77.95
465,0.126582278,0.752380952,116.1265823,104.0416667,0.507692308,0.492307692,0.019047619,M,Fabio Fognini,Jiri Vesely,83,0.619047619,grass,wimbledon,L,77.95
466,0.042553191,0.626666667,117.5957447,104.7,0.512820513,0.487179487,0.106666667,M,Gael Monfils,Jiri Vesely,57,0.52,hard,aus,L,77.95
36,0.270833333,0.71641791,113.3125,96.05882353,0.519230769,0.480769231,0.029850746,M,Guido Pella,Juan Martin Del Potro,92,0.776119403,clay,french,R,77.95
37,0.105263158,0.644067797,98.52631579,77,0.525,0.475,0.033898305,M,Nicolas Almagro,Juan Martin Del Potro,54,0.677966102,clay,french,R,77.95
38,0.090909091,0.611111111,107.3939394,86.84210526,0.50877193,0.49122807,0.037037037,M,Andy Murray,Juan Martin Del Potro,92,0.527777778,clay,french,R,77.95
39,0.186813187,0.728,118.967033,97.41935484,0.443181818,0.556818182,0.024,M,Thanasi Kokkinakis,Juan Martin Del Potro,133,0.704,grass,wimbledon,R,77.95
40,0.101449275,0.616071429,119.8550725,103.0731707,0.472222222,0.527777778,0.017857143,M,Ernests Gulbis,Juan Martin Del Potro,100,0.642857143,grass,wimbledon,R,77.95
56,0.138461538,0.532786885,0,0,0.506329114,0.493670886,0.024590164,M,Nicolas Jarry,Karen Khachanov,139,0.647540984,clay,french,R,77.95
57,0.279069767,0.467391304,110.1860465,94.14893617,0.52238806,0.47761194,0.02173913,M,Tomas Berdych,Karen Khachanov,102,0.72826087,clay,french,R,77.95
58,0.112676056,0.482993197,111.2253521,91.02941176,0.486486486,0.513513514,0.054421769,M,John Isner,Karen Khachanov,151,0.755102041,clay,french,R,77.95
