,ad_acepercentage,ad_firstservepercentage,deuce_acepercentage,deuce_firstservepercentage,gender,opponent,player,surface,tournament,handedness
123,0.625,0.396825397,0.375,0.6031746029999999,M,Frances Tiafoe,Roger Federer,hard,us,R
124,0.583333333,0.425287356,0.41666666700000005,0.574712644,M,Mikhail Youzhny,Roger Federer,hard,us,R
125,0.666666667,0.52173913,0.333333333,0.47826087,M,Feliciano Lopez,Roger Federer,hard,us,R
126,0.8,0.44897959200000004,0.2,0.551020408,M,Philipp Kohlschreiber,Roger Federer,hard,us,R
127,0.588235294,0.523809524,0.41176470600000004,0.47619047600000003,M,Juan Martin del Potro,Roger Federer,hard,us,R
128,0.5,0.518518519,0.5,0.481481481,M,Alexandr Dolgopolov,Roger Federer,grass,wimbledon,R
129,0.428571429,0.595744681,0.571428571,0.404255319,M,Dusan Lajovic,Roger Federer,grass,wimbledon,R
130,0.46153846200000004,0.471698113,0.538461538,0.528301887,M,Mischa Zverev,Roger Federer,grass,wimbledon,R
131,0.75,0.538461538,0.25,0.46153846200000004,M,Grigor Dimitrov,Roger Federer,grass,wimbledon,R
132,0.454545455,0.491803279,0.545454545,0.508196721,M,Milos Raonic,Roger Federer,grass,wimbledon,R
133,0.46153846200000004,0.5,0.538461538,0.5,M,Tomas Berdych,Roger Federer,grass,wimbledon,R
134,0.75,0.528301887,0.25,0.471698113,M,Marin Cilic,Roger Federer,grass,wimbledon,R
135,0.571428571,0.546511628,0.428571429,0.45348837200000003,M,Lukas Lacko,Albert Ramos Vinolas,hard,aus,L
136,0.5,0.46969697,0.5,0.53030303,M,Marius Copil,Albert Ramos Vinolas,clay,french,L
137,0.375,0.552631579,0.625,0.447368421,M,Benjamin Bonzi,Albert Ramos Vinolas,clay,french,L
138,0.0,0.521276596,1.0,0.47872340399999996,M,Lucas Pouille,Albert Ramos Vinolas,clay,french,L
139,0.333333333,0.515625,0.666666667,0.484375,M,Novak Djokovic,Albert Ramos Vinolas,clay,french,L
140,0.666666667,0.46511627899999997,0.333333333,0.534883721,M,Jordan Thompson,Albert Ramos Vinolas,grass,wimbledon,L
141,0.4,0.443396226,0.6,0.5566037739999999,M,Andrey Rublev,Albert Ramos Vinolas,grass,wimbledon,L
142,0.444444444,0.49350649399999996,0.5555555560000001,0.506493506,M,Milos Raonic,Albert Ramos Vinolas,grass,wimbledon,L
