1st_ace_percentage,1st_serve_percentage,1st_velocity,2nd_velocity,ad_percentage,deuce_percentage,double_fault_percentage,gender,opponent,player,points_won,serve_win_percentage,surface,tournament
0.061538462,0.684210526,111.2461538,86.42307692,0.457142857,0.542857143,0.042105263,M,Tommy Robredo,Grigor Dimitrov,103,0.736842105,clay,french
0.146666667,0.568181818,106.2933333,92.51020408,0.483146067,0.516853933,0.060606061,M,Aljaz Bedene,Jiri Vesely,129,0.674242424,clay,french
0.222222222,0.495412844,107.6851852,79.80769231,0.492753623,0.507246377,0.027522936,M,Jiri Vesely,Aljaz Bedene,112,0.633027523,clay,french
0.02020202,0.761538462,89.88888889,62.86666667,0.460526316,0.539473684,0.007692308,M,Roberto Bautista Agut,Mikhail Kukushkin,122,0.584615385,clay,french
0.04,0.595238095,92.81333333,78.38,0.525,0.475,0.007936508,M,Mikhail Kukushkin,Roberto Bautista Agut,134,0.634920635,clay,french
0.021978022,0.739837398,79.87912088,71.25,0.469879518,0.530120482,0,M,Viktor Troicki,Nikoloz Basilashvili,136,0.674796748,clay,french
0.185714286,0.518518519,95.04285714,73.32758621,0.5,0.5,0.051851852,M,Nikoloz Basilashvili,Viktor Troicki,122,0.607407407,clay,french
0.117647059,0.6375,100.2745098,85.24,0.52173913,0.47826087,0.05,M,Rafael Nadal,Robin Haase,60,0.575,clay,french
0.086956522,0.696969697,89.56521739,93.73684211,0.442307692,0.557692308,0.015151515,M,Robin Haase,Rafael Nadal,86,0.787878788,clay,french
0.15,0.465116279,107.9,89.87179487,0.533333333,0.466666667,0.081395349,M,Simone Bolelli,Dominic Thiem,121,0.697674419,clay,french
0,0.796875,86.18627451,68.2,0.492537313,0.507462687,0.0078125,M,Dominic Thiem,Simone Bolelli,93,0.5234375,clay,french
0.088888889,0.5625,92.26666667,70.54545455,0.485436893,0.514563107,0.025,M,Steve Johnson,Borna Coric,147,0.64375,clay,french
0.16,0.547445255,99.06666667,74.73214286,0.505376344,0.494623656,0.04379562,M,Borna Coric,Steve Johnson,150,0.678832117,clay,french
0.421875,0.62745098,111.203125,104.90625,0.527027027,0.472972973,0.058823529,M,Horacio Zeballos,Ivo Karlovic,89,0.725490196,clay,french
0.086956522,0.71875,102.2608696,71.52,0.49382716,0.50617284,0.020833333,M,Ivo Karlovic,Horacio Zeballos,109,0.84375,clay,french
0.13253012,0.619402985,105.6506024,89.79591837,0.493506494,0.506493506,0.014925373,M,David Goffin,Sergiy Stakhovsky,100,0.574626866,clay,french
0.098360656,0.628865979,105.2131148,79.02857143,0.486486486,0.513513514,0.010309278,M,Sergiy Stakhovsky,David Goffin,131,0.762886598,clay,french
0.074626866,0.656862745,91.50746269,89.07142857,0.515625,0.484375,0.068627451,M,Thomaz Bellucci,Lucas Pouille,105,0.62745098,clay,french
0.0625,0.558139535,97.08333333,82.5,0.466666667,0.533333333,0.093023256,M,Lucas Pouille,Thomaz Bellucci,83,0.523255814,clay,french
0.026315789,0.558823529,88.52631579,64.07142857,0.566666667,0.433333333,0.029411765,M,Albert Ramos Vinolas,Benjamin Bonzi,43,0.441176471,clay,french
0.210526316,0.666666667,95.44736842,78.5,0.477272727,0.522727273,0.01754386,M,Benjamin Bonzi,Albert Ramos Vinolas,82,0.771929825,clay,french
0.058823529,0.593023256,0,0,0.434782609,0.565217391,0.011627907,M,Diego Schwartzman,Stefano Napolitano,86,0.534883721,clay,french
0.028985507,0.633027523,0,0,0.52173913,0.47826087,0.036697248,M,Stefano Napolitano,Diego Schwartzman,109,0.633027523,clay,french
0.02173913,0.554216867,101.4347826,86.25714286,0.441860465,0.558139535,0.024096386,M,Novak Djokovic,Joao Sousa,72,0.518072289,clay,french
0.039215686,0.579545455,100.0784314,89.30555556,0.542372881,0.457627119,0.011363636,M,Joao Sousa,Novak Djokovic,99,0.670454545,clay,french
0.086206897,0.568627451,103.9655172,75.17073171,0.52238806,0.47761194,0.029411765,M,Juan Martin Del Potro,Andy Murray,118,0.656862745,clay,french
0.090909091,0.611111111,107.3939394,86.84210526,0.50877193,0.49122807,0.037037037,M,Andy Murray,Juan Martin Del Potro,92,0.527777778,clay,french
0.153846154,0.65942029,116.0549451,94.42222222,0.520408163,0.479591837,0.014492754,M,Karen Khachanov,John Isner,134,0.710144928,clay,french
0.112676056,0.482993197,111.2253521,91.02941176,0.486486486,0.513513514,0.054421769,M,John Isner,Karen Khachanov,151,0.755102041,clay,french
0.041666667,0.666666667,82.20833333,72.94736842,0.510204082,0.489795918,0.069444444,M,Pablo Cuevas,Fernando Verdasco,94,0.680555556,clay,french
