,1st_ace_percentage,1st_serve_percentage,1st_velocity,2nd_velocity,ad_percentage,deuce_percentage,double_fault_percentage,gender,opponent,player,points_won,serve_win_percentage,surface,tournament
57,0.0425531914893617,0.6266666666666667,117.59574468085107,104.7,0.5128205128205128,0.48717948717948717,0.10666666666666667,M,Gael Monfils,Jiri Vesely,57,0.52,hard,aus
58,0.18666666666666668,0.5681818181818182,0.0,0.0,0.45977011494252873,0.5402298850574713,0.06818181818181818,M,Borna Coric,Alexandr Dolgopolov,139,0.6590909090909091,hard,aus
59,0.1375,0.5970149253731343,0.0,0.0,0.524390243902439,0.47560975609756095,0.05223880597014925,M,Alexandr Dolgopolov,Borna Coric,127,0.6119402985074627,hard,aus
60,0.021052631578947368,0.6934306569343066,0.0,0.0,0.4588235294117647,0.5411764705882353,0.014598540145985401,M,Philipp Kohlschreiber,Nikoloz Basilashvili,120,0.6204379562043796,hard,aus
61,0.16666666666666666,0.5789473684210527,0.0,0.0,0.4936708860759494,0.5063291139240507,0.03508771929824561,M,Nikoloz Basilashvili,Philipp Kohlschreiber,131,0.6929824561403509,hard,aus
62,0.18478260869565216,0.6388888888888888,123.97826086956522,97.64285714285714,0.4946236559139785,0.5053763440860215,0.06944444444444445,M,Robin Haase,Alexander Zverev,149,0.6458333333333334,hard,aus
63,0.16049382716049382,0.5785714285714286,116.65432098765432,99.5625,0.5119047619047619,0.4880952380952381,0.07857142857142857,M,Alexander Zverev,Robin Haase,135,0.6,hard,aus
64,0.03225806451612903,0.6326530612244898,0.0,0.0,0.48,0.52,0.04081632653061224,M,Marcos Baghdatis,Mikhail Youzhny,35,0.5102040816326531,hard,aus
65,0.23529411764705882,0.4722222222222222,0.0,0.0,0.46153846153846156,0.5384615384615384,0.027777777777777776,M,Mikhail Youzhny,Marcos Baghdatis,50,0.7222222222222222,hard,aus
66,0.10606060606060606,0.6470588235294118,112.3030303030303,87.62857142857143,0.5079365079365079,0.49206349206349204,0.00980392156862745,M,Rafael Nadal,Florian Mayer,79,0.6176470588235294,hard,aus
67,0.09433962264150944,0.6973684210526315,113.32075471698113,96.21739130434783,0.48333333333333334,0.5166666666666667,0.0,M,Florian Mayer,Rafael Nadal,99,0.7894736842105263,hard,aus
68,0.15789473684210525,0.6333333333333333,108.52631578947368,89.19047619047619,0.4489795918367347,0.5510204081632653,0.016666666666666666,M,Guido Pella,Roberto Bautista Agut,85,0.8166666666666667,hard,aus
69,0.125,0.5970149253731343,111.425,89.27272727272727,0.5161290322580645,0.4838709677419355,0.07462686567164178,M,Roberto Bautista Agut,Guido Pella,42,0.4626865671641791,hard,aus
70,0.014925373134328358,0.5826086956521739,100.2089552238806,79.61363636363636,0.5694444444444444,0.4305555555555556,0.034782608695652174,M,Alex Bolt,Yoshihito Nishioka,120,0.6260869565217392,hard,aus
71,0.2638888888888889,0.6101694915254238,108.375,90.14634146341463,0.5428571428571428,0.45714285714285713,0.0423728813559322,M,Yoshihito Nishioka,Alex Bolt,113,0.5932203389830508,hard,aus
72,0.1518987341772152,0.5851851851851851,0.0,0.0,0.5,0.5,0.06666666666666667,M,Ernesto Escobedo,Daniil Medvedev,125,0.6666666666666666,hard,aus
73,0.1323529411764706,0.5573770491803278,0.0,0.0,0.5172413793103449,0.4827586206896552,0.02459016393442623,M,Daniil Medvedev,Ernesto Escobedo,132,0.7131147540983607,hard,aus
74,0.024390243902439025,0.6029411764705882,111.3170731707317,89.13636363636364,0.4411764705882353,0.5588235294117647,0.07352941176470588,M,David Ferrer,Omar Jasika,52,0.5,hard,aus
75,0.09090909090909091,0.6567164179104478,110.9090909090909,96.71428571428571,0.42857142857142855,0.5714285714285714,0.029850746268656716,M,Omar Jasika,David Ferrer,83,0.7313432835820896,hard,aus
76,0.05128205128205128,0.46987951807228917,0.0,0.0,0.5,0.5,0.03614457831325301,M,Michael Mmoh,Gilles Simon,95,0.6746987951807228,hard,aus
77,0.0784313725490196,0.6623376623376623,0.0,0.0,0.5,0.5,0.05194805194805195,M,Gilles Simon,Michael Mmoh,65,0.4935064935064935,hard,aus
78,0.11538461538461539,0.5909090909090909,0.0,0.0,0.49382716049382713,0.5061728395061729,0.03787878787878788,M,Rogerio Dutra Silva,Jared Donaldson,131,0.6136363636363636,hard,aus
79,0.16883116883116883,0.5923076923076923,0.0,0.0,0.4875,0.5125,0.023076923076923078,M,Jared Donaldson,Rogerio Dutra Silva,131,0.6153846153846154,hard,aus
80,0.05454545454545454,0.5913978494623656,116.58181818181818,99.09677419354838,0.5185185185185185,0.48148148148148145,0.07526881720430108,M,Milos Raonic,Dustin Brown,74,0.5806451612903226,hard,aus
81,0.28,0.6329113924050633,118.66,110.25,0.4576271186440678,0.5423728813559322,0.06329113924050633,M,Dustin Brown,Milos Raonic,98,0.7468354430379747,hard,aus
82,0.1935483870967742,0.4696969696969697,108.87096774193549,93.59016393442623,0.4634146341463415,0.5365853658536586,0.06818181818181818,M,Jan Lennard Struff,Dominic Thiem,137,0.6212121212121212,hard,aus
83,0.17567567567567569,0.5285714285714286,128.59459459459458,100.98214285714286,0.47058823529411764,0.5294117647058824,0.07142857142857142,M,Dominic Thiem,Jan Lennard Struff,135,0.6071428571428571,hard,aus
84,0.2268041237113402,0.6643835616438356,114.70103092783505,85.75,0.4742268041237113,0.5257731958762887,0.00684931506849315,M,Joao Sousa,Jordan Thompson,149,0.6643835616438356,hard,aus
85,0.0547945205479452,0.553030303030303,111.46575342465754,87.68518518518519,0.475,0.525,0.03787878787878788,M,Jordan Thompson,Joao Sousa,129,0.6060606060606061,hard,aus
86,0.06666666666666667,0.5357142857142857,106.15555555555555,95.88235294117646,0.4897959183673469,0.5102040816326531,0.05952380952380952,M,Benoit Paire,Tommy Haas,72,0.5833333333333334,hard,aus
87,0.4883720930232558,0.581081081081081,113.90697674418605,87.70370370370371,0.49019607843137253,0.5098039215686274,0.05405405405405406,M,Tommy Haas,Benoit Paire,86,0.6891891891891891,hard,aus
88,0.11627906976744186,0.5308641975308642,0.0,0.0,0.47540983606557374,0.5245901639344263,0.037037037037037035,M,Feliciano Lopez,Fabio Fognini,122,0.7530864197530864,hard,aus
89,0.15492957746478872,0.5338345864661654,0.0,0.0,0.5138888888888888,0.4861111111111111,0.06015037593984962,M,Fabio Fognini,Feliciano Lopez,92,0.5413533834586466,hard,aus
90,0.4857142857142857,0.6572769953051644,0.0,0.0,0.5029239766081871,0.49707602339181284,0.056338028169014086,M,Horacio Zeballos,Ivo Karlovic,234,0.8028169014084507,hard,aus
91,0.17763157894736842,0.6413502109704642,0.0,0.0,0.5057471264367817,0.4942528735632184,0.0379746835443038,M,Ivo Karlovic,Horacio Zeballos,216,0.7341772151898734,hard,aus
92,0.19696969696969696,0.616822429906542,0.0,0.0,0.5238095238095238,0.47619047619047616,0.028037383177570093,M,Andrew Whittington,Adam Pavlasek,100,0.5887850467289719,hard,aus
93,0.18461538461538463,0.5803571428571429,0.0,0.0,0.4666666666666667,0.5333333333333333,0.08928571428571429,M,Adam Pavlasek,Andrew Whittington,119,0.6696428571428571,hard,aus
94,0.08620689655172414,0.6666666666666666,0.0,0.0,0.5384615384615384,0.46153846153846156,0.05747126436781609,M,Radek Stepanek,Dmitry Tursunov,79,0.5977011494252874,hard,aus
95,0.234375,0.6464646464646465,0.0,0.0,0.4722222222222222,0.5277777777777778,0.04040404040404041,M,Dmitry Tursunov,Radek Stepanek,107,0.7272727272727273,hard,aus
96,0.24705882352941178,0.5902777777777778,128.49411764705883,100.26923076923077,0.5217391304347826,0.4782608695652174,0.04861111111111111,M,David Goffin,Reilly Opelka,137,0.6388888888888888,hard,aus
97,0.16455696202531644,0.5337837837837838,107.69620253164557,84.54838709677419,0.46601941747572817,0.5339805825242718,0.0472972972972973,M,Reilly Opelka,David Goffin,155,0.6959459459459459,hard,aus
98,0.3191489361702128,0.5802469135802469,117.76595744680851,89.61764705882354,0.5373134328358209,0.4626865671641791,0.0,M,Christopher O'Connell,Grigor Dimitrov,110,0.8271604938271605,hard,aus
