ad_acepercentage,ad_firstservepercentage,deuce_acepercentage,deuce_firstservepercentage,gender,opponent,player,surface,tournament
0.666666667,0.545454545,0.333333333,0.454545455,M,Grigor Dimitrov,David Goffin,hard,aus
0.625,0.508196721,0.375,0.491803279,M,David Goffin,Grigor Dimitrov,hard,aus
0.454545455,0.569767442,0.545454545,0.430232558,M,Stan Wawrinka,Roger Federer,hard,aus
0.555555556,0.460674157,0.444444444,0.539325843,M,Roger Federer,Stan Wawrinka,hard,aus
0.625,0.511111111,0.375,0.488888889,M,Grigor Dimitrov,Rafael Nadal,hard,aus
0.4,0.5,0.6,0.5,M,Rafael Nadal,Grigor Dimitrov,hard,aus
0.631578947,0.517647059,0.368421053,0.482352941,M,Rafael Nadal,Roger Federer,hard,aus
0.5,0.5,0.5,0.5,M,Roger Federer,Rafael Nadal,hard,aus
0.666666667,0.52,0.333333333,0.48,F,Lesia Tsurenko,Angelique Kerber,hard,aus
0,0.545454545,0,0.454545455,F,Angelique Kerber,Lesia Tsurenko,hard,aus
0.666666667,0.490909091,0.333333333,0.509090909,F,Carina Witthoeft,Eri Hozumi,hard,aus
0.25,0.490909091,0.75,0.509090909,F,Eri Hozumi,Carina Witthoeft,hard,aus
0.571428571,0.479166667,0.428571429,0.520833333,F,Viktorija Golubic,Kristyna Pliskova,hard,aus
1,0.507462687,0,0.492537313,F,Kristyna Pliskova,Viktorija Golubic,hard,aus
0.333333333,0.509803922,0.666666667,0.490196078,F,Irina Camelia Begu,Yaroslava Shvedova,hard,aus
0.666666667,0.448275862,0.333333333,0.551724138,F,Yaroslava Shvedova,Irina Camelia Begu,hard,aus
0,0.510204082,0,0.489795918,F,Shuai Peng,Daria Kasatkina,hard,aus
0.75,0.5,0.25,0.5,F,Daria Kasatkina,Shuai Peng,hard,aus
1,0.533333333,0,0.466666667,F,Eugenie Bouchard,Louisa Chirico,hard,aus
0.5,0.44,0.5,0.56,F,Louisa Chirico,Eugenie Bouchard,hard,aus
0.5,0.538461538,0.5,0.461538462,F,Misaki Doi,Pauline Parmentier,hard,aus
0,0.477272727,1,0.522727273,F,Pauline Parmentier,Misaki Doi,hard,aus
0.833333333,0.538461538,0.166666667,0.461538462,F,Roberta Vinci,CoCo Vandeweghe,hard,aus
0.5,0.447368421,0.5,0.552631579,F,CoCo Vandeweghe,Roberta Vinci,hard,aus
1,0.488372093,0,0.511627907,F,Jana Cepelova,nan,hard,aus
0,0.552631579,0,0.447368421,F,nan,Jana Cepelova,hard,aus
0,0.481481481,1,0.518518519,F,Shuai Zhang,Aliaksandra Sasnovich,hard,aus
1,0.558823529,0,0.441176471,F,Aliaksandra Sasnovich,Shuai Zhang,hard,aus
1,0.571428571,0,0.428571429,F,Nao Hibino,Anastasija Sevastova,hard,aus
0,0.526315789,0,0.473684211,F,Anastasija Sevastova,Nao Hibino,hard,aus
0.5,0.565217391,0.5,0.434782609,F,nan,Marina Erakovic,hard,aus
0.4,0.529411765,0.6,0.470588235,F,Marina Erakovic,nan,hard,aus
0.5,0.46,0.5,0.54,F,Shelby Rogers,Simona Halep,hard,aus
0.5,0.5,0.5,0.5,F,Simona Halep,Shelby Rogers,hard,aus
0.375,0.40625,0.625,0.59375,F,Annika Beck,Ashleigh Barty,hard,aus
1,0.53125,0,0.46875,F,Ashleigh Barty,Annika Beck,hard,aus
0.4,0.42,0.6,0.58,F,Destanee Aiava,Mona Barthel,hard,aus
0,0.473684211,1,0.526315789,F,Mona Barthel,Destanee Aiava,hard,aus
0,0.391304348,1,0.608695652,F,Monica Puig,Patricia Maria Tig,hard,aus
0,0.48,1,0.52,F,Patricia Maria Tig,Monica Puig,hard,aus
