1st_ace_percentage,1st_serve_percentage,1st_velocity,2nd_velocity,ad_percentage,deuce_percentage,double_fault_percentage,gender,opponent,player,points_won,serve_win_percentage,surface,tournament
0.103448276,0.682352941,114.637931,96.91666667,0.465517241,0.534482759,0.035294118,M,Marcos Baghdatis,James Ward,77,0.682352941,grass,wimbledon
0.386363636,0.564102564,112.6363636,92,0.457627119,0.542372881,0.025641026,M,James Ward,Marcos Baghdatis,86,0.756410256,grass,wimbledon
0,0.666666667,0,0,0.510869565,0.489130435,0.021276596,M,Marcel Granollers,Dudi Sela,130,0.65248227,grass,wimbledon
0.2,0.566037736,0,0,0.5,0.5,0.037735849,M,Dudi Sela,Marcel Granollers,117,0.641509434,grass,wimbledon
0.24,0.641025641,0,0,0.50877193,0.49122807,0.012820513,M,John Isner,Taylor Fritz,71,0.730769231,grass,wimbledon
0.359375,0.771084337,0,0,0.507246377,0.492753623,0,M,Taylor Fritz,John Isner,90,0.831325301,grass,wimbledon
0.354166667,0.75,0,0,0.5,0.5,0.046875,M,Bernard Tomic,Mischa Zverev,94,0.875,grass,wimbledon
0.051282051,0.772277228,0,0,0.523809524,0.476190476,0.01980198,M,Mischa Zverev,Bernard Tomic,71,0.623762376,grass,wimbledon
0.120879121,0.733870968,0,0,0.517241379,0.482758621,0,M,Taro Daniel,Mikhail Kukushkin,138,0.701612903,grass,wimbledon
0.06097561,0.625954198,0,0,0.575,0.425,0.030534351,M,Mikhail Kukushkin,Taro Daniel,117,0.610687023,grass,wimbledon
0.224489796,0.544444444,0,0,0.543859649,0.456140351,0.022222222,M,Dusan Lajovic,Stefanos Tsitsipas,86,0.633333333,grass,wimbledon
0.057971014,0.69,0,0,0.535211268,0.464788732,0.03,M,Stefanos Tsitsipas,Dusan Lajovic,104,0.71,grass,wimbledon
0.043478261,0.46,117.9565217,95.56521739,0.48,0.52,0.08,M,Roger Federer,Alexandr Dolgopolov,36,0.5,grass,wimbledon
0.37037037,0.75,108.9259259,88.25,0.56,0.44,0.027777778,M,Alexandr Dolgopolov,Roger Federer,50,0.694444444,grass,wimbledon
0.235294118,0.485714286,119.8235294,99.05882353,0.410714286,0.589285714,0.028571429,M,Vasek Pospisil,Dominic Thiem,98,0.8,grass,wimbledon
0.112903226,0.579439252,118.2258065,98.63414634,0.492307692,0.507692308,0.037383178,M,Dominic Thiem,Vasek Pospisil,79,0.607476636,grass,wimbledon
0.111111111,0.473684211,0,0,0.507462687,0.492537313,0.042105263,M,Nicolas Jarry,Gilles Simon,123,0.705263158,grass,wimbledon
0.106666667,0.6,0,0,0.52173913,0.47826087,0.048,M,Gilles Simon,Nicolas Jarry,97,0.552,grass,wimbledon
0,0.588235294,0,0,0.4,0.6,0.176470588,M,Jared Donaldson,Janko Tipsarevic,5,0.294117647,grass,wimbledon
0.333333333,0.375,0,0,0.5,0.5,0,M,Janko Tipsarevic,Jared Donaldson,20,1,grass,wimbledon
0.158536585,0.577464789,0,0,0.510638298,0.489361702,0.042253521,M,Paolo Lorenzi,Horacio Zeballos,147,0.661971831,grass,wimbledon
0.113636364,0.575163399,0,0,0.51,0.49,0.026143791,M,Horacio Zeballos,Paolo Lorenzi,148,0.653594771,grass,wimbledon
0,0.591666667,108.8591549,92.20408163,0.513157895,0.486842105,0,M,David Ferrer,Richard Gasquet,117,0.633333333,grass,wimbledon
0.011764706,0.653846154,108.9647059,98.05,0.460674157,0.539325843,0.038461538,M,Richard Gasquet,David Ferrer,133,0.684615385,grass,wimbledon
